    PID    PPID    PGID     SID STAT CMD
   4423    4394    4423    4394 Sl+  /usr/bin/python3 /opt/ros/jazzy/bin/ros2 launch sweepi_robot_manager master.launch.py launch_sim:=false launch_hardware:=true use_sim_time:=false launch_api_bridge:=true api_host:=0.0.0.0 api_port:=8080 base_serial_port:=/dev/ttyAMA0 base_baud_rate:=115200 launch_lidar:=true lidar_serial_port:=/dev/ttyUSB0 lidar_baud_rate:=460800 lidar_frame_id:=lidar_link launch_rviz:=true
   4427    4423    4423    4394 Sl+  /usr/bin/python3 /home/sweepi/SweePi/install/sweepi_base_driver/lib/sweepi_base_driver/base_driver_node --ros-args -r __node:=base_driver_node --params-file /home/sweepi/SweePi/install/sweepi_base_driver/share/sweepi_base_driver/config/base_driver_params.yaml --params-file /tmp/launch_params_lo2iy9de
   4428    4423    4423    4394 Rl+  /opt/ros/jazzy/lib/robot_localization/ekf_node --ros-args -r __node:=ekf_filter_node --params-file /home/sweepi/SweePi/install/sweepi_state_estimation/share/sweepi_state_estimation/config/ekf.yaml --params-file /tmp/launch_params_vh0b4btg -r odometry/filtered:=/odom
   4429    4423    4423    4394 Sl+  /home/sweepi/SweePi/install/sllidar_ros2/lib/sllidar_ros2/sllidar_node --ros-args -r __node:=sllidar_node --params-file /tmp/launch_params_wjct2ddf
   4430    4423    4423    4394 Sl+  /opt/ros/jazzy/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_sknbzyda
   4431    4423    4423    4394 Sl+  /opt/ros/jazzy/lib/rviz2/rviz2 -d /home/sweepi/SweePi/install/sweepi_bringup/share/sweepi_bringup/rviz/urdf_config.rviz --ros-args -r __node:=rviz2 --params-file /tmp/launch_params_5rgunwze
   4432    4423    4423    4394 Sl+  python3 /home/sweepi/SweePi/install/sweepi_robot_manager/lib/sweepi_robot_manager/sweepi_robot_manager_node.py --ros-args -r __node:=sweepi_robot_manager --params-file /tmp/launch_params_z79ogo4q
   4433    4423    4423    4394 Sl+  /usr/bin/python3 /home/sweepi/SweePi/install/sweepi_api_bridge/lib/sweepi_api_bridge/api_bridge_node --ros-args -r __node:=sweepi_api_bridge --params-file /tmp/launch_params_oyu6q5il
   4823    3715    4823    3715 Sl+  /usr/bin/python3 /opt/ros/jazzy/bin/ros2 run teleop_twist_keyboard teleop_twist_keyboard
   4826    4823    4823    3715 Sl+  /usr/bin/python3 /opt/ros/jazzy/lib/teleop_twist_keyboard/teleop_twist_keyboard
