1783780529.6487718 [INFO] [launch]: All log files can be found below /home/sweepi/.ros/log/2026-07-11-20-05-29-647395-sweepi-14159
1783780529.6489778 [INFO] [launch]: Default logging verbosity is set to INFO
1783780529.9539268 [INFO] [base_driver_node-1]: process started with pid [14163]
1783780529.9542019 [INFO] [ekf_node-2]: process started with pid [14164]
1783780529.9543283 [INFO] [sllidar_node-3]: process started with pid [14165]
1783780529.9544265 [INFO] [robot_state_publisher-4]: process started with pid [14166]
1783780529.9545105 [INFO] [rviz2-5]: process started with pid [14167]
1783780529.9545972 [INFO] [sweepi_robot_manager_node.py-6]: process started with pid [14168]
1783780659.5736985 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT)
1783780659.7514882 [INFO] [robot_state_publisher-4]: process has finished cleanly [pid 14166]
1783780659.7597635 [INFO] [ekf_node-2]: process has finished cleanly [pid 14164]
1783780659.9644253 [INFO] [rviz2-5]: process has finished cleanly [pid 14167]
1783780659.9650354 [INFO] [sweepi_robot_manager_node.py-6]: process has finished cleanly [pid 14168]
1783780660.0227659 [ERROR] [base_driver_node-1]: process has died [pid 14163, exit code 1, cmd '/home/sweepi/SweePi/install/sweepi_base_driver/lib/sweepi_base_driver/base_driver_node --ros-args -r __node:=base_driver_node --params-file /home/sweepi/SweePi/install/sweepi_base_driver/share/sweepi_base_driver/config/base_driver_params.yaml --params-file /tmp/launch_params_3z8xdtlt'].
1783780660.0603852 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780660.2558401 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780660.4385798 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780660.5934844 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780660.7813792 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780660.9714038 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780661.1809664 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780661.3813367 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780661.6241212 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.1076269 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.1333923 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.1613438 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.2011583 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.2357121 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.2752743 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.2822399 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.3253970 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.3567145 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.3728757 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.4380908 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.4412770 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.4812438 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.5055637 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.5299397 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.5955558 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.5960112 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.6310315 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.6768935 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.6787429 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.7246327 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.7443867 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.7823632 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.8176179 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.8425512 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.8765254 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.9055209 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780662.9198420 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780663.9893491 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1783780664.5829046 [ERROR] [sllidar_node-3]: process[sllidar_node-3] failed to terminate '5' seconds after receiving 'SIGINT', escalating to 'SIGTERM'
1783780664.5838737 [INFO] [sllidar_node-3]: sending signal 'SIGTERM' to process[sllidar_node-3]
1783780664.9108627 [INFO] [sllidar_node-3]: process has finished cleanly [pid 14165]
